"","disasterNumber","declarationDate","incidentType","pwNumber","applicationTitle","applicantId","damageCategoryCode","dcc","damageCategory","projectSize","county","countyCode","state","stateCode","stateNumberCode","projectAmount","federalShareObligated","totalObligated","obligatedDate","hash","lastRefresh","id"
"941",1292,"1999-09-16T04:00:00.000Z","Hurricane",1001,"PUBLIC UTILITIES","065-66700-00","F - Public Utilities","F","Public Utilities","Large","Edgecombe",65,"North Carolina","NC",37,175482.23,157934.01,160487.28,"2001-11-06T21:54:27.000Z","f2dd0730dcadf3fad594effa311eb3e9","2020-06-15T11:19:34.422Z","5ee75946556129600dd56d2e"
"942",1292,"1999-09-16T04:00:00.000Z","Hurricane",1003,"DEBRIS REMOVAL","091-99091-00","A - Debris Removal","A","Debris Removal","Small","Hertford",91,"North Carolina","NC",37,19720,17748,18431.3,"1999-11-22T16:11:48.000Z","023a91bababe1b54a47fdcd7e602aff7","2020-06-15T11:19:34.423Z","5ee75946556129600dd56d2f"
"943",1292,"1999-09-16T04:00:00.000Z","Hurricane",1004,"EMERGENCY PROTECTIVE MEASURES","091-99091-00","B - Protective Measures","B","Protective Measures","Small","Hertford",91,"North Carolina","NC",37,40707.53,36636.78,38047.3,"1999-11-22T16:11:48.000Z","0fce728a3afc72be601a1c8ffdb840a8","2020-06-15T11:19:34.424Z","5ee75946556129600dd56d30"
"944",1292,"1999-09-16T04:00:00.000Z","Hurricane",1005,"DEBRIS REMOVAL","091-99091-00","A - Debris Removal","A","Debris Removal","Small","Hertford",91,"North Carolina","NC",37,2200,1980,2056.23,"1999-11-22T16:11:48.000Z","43a73e694c140c08010f6ddca103c91a","2020-06-15T11:19:34.425Z","5ee75946556129600dd56d31"
"945",1292,"1999-09-16T04:00:00.000Z","Hurricane",1007,"EMERGENCY PROTECTIVE MEASURES","083-56900-00","B - Protective Measures","B","Protective Measures","Small","Halifax",83,"North Carolina","NC",37,3486.37,3137.74,3258.53,"1999-11-22T16:11:48.000Z","ace9a7e6d9ba755c2182c9a1ddf62643","2020-06-15T11:19:34.426Z","5ee75946556129600dd56d32"
"946",1292,"1999-09-16T04:00:00.000Z","Hurricane",1008,"EMERGENCY PROTECTIVE MEASURES","083-56900-00","B - Protective Measures","B","Protective Measures","Small","Halifax",83,"North Carolina","NC",37,21371.37,19234.24,19974.76,"1999-11-22T16:11:48.000Z","d66184425d7cdaa30d6c5e097a52b11b","2020-06-15T11:19:34.427Z","5ee75946556129600dd56d33"
"947",1292,"1999-09-16T04:00:00.000Z","Hurricane",1009,"DEBRIS REMOVAL","131-25540-00","A - Debris Removal","A","Debris Removal","Small","Northampton",131,"North Carolina","NC",37,21404.22,19263.8,20005.47,"1999-12-01T03:40:51.000Z","596428c3a7a73b28532951fce1f79158","2020-06-15T11:19:34.459Z","5ee75946556129600dd56d34"
"948",1292,"1999-09-16T04:00:00.000Z","Hurricane",1010,"DEBRIS REMOVAL","127-64160-00","A - Debris Removal","A","Debris Removal","Small","Nash",127,"North Carolina","NC",37,21330.82,19197.74,19936.85,"1999-11-22T16:11:48.000Z","5cab375101d58a0c68d6d6b693262d49","2020-06-15T11:19:34.460Z","5ee75946556129600dd56d35"
"949",1292,"1999-09-16T04:00:00.000Z","Hurricane",1011,"PUBLIC BUILDINGS AND FACILITIES","065-0764E-00","E - Public Buildings","E","Public Buildings","Large","Edgecombe",65,"North Carolina","NC",37,2893233.9,2603910.51,2631468.57,"2000-07-28T15:34:29.000Z","a8f46ea903f620c2bab55d8a5fc07897","2020-06-15T11:19:34.461Z","5ee75946556129600dd56d36"
"950",1292,"1999-09-16T04:00:00.000Z","Hurricane",1012,"PUBLIC BUILDINGS AND FACILITIES","065-0764E-00","E - Public Buildings","E","Public Buildings","Large","Edgecombe",65,"North Carolina","NC",37,318469.47,286622.52,290603.81,"2000-04-14T22:16:02.000Z","38ad8246fcafe35e70001515a182c243","2020-06-15T11:19:34.463Z","5ee75946556129600dd56d37"
